3,Have-sies™,$3.09,380 cal
3,Fiery Royal Crispy Wrap,$2.99,390 cal
3,Honey Mustard Royal Crispy Wrap,$2.99,290 cal
3,Whopper Meals,$9.89,1,390 cal
3,Royal Crispy Wrap,$2.99,310 cal
3,Impossible Whopper Meals,$10.89,1,350 cal
3,Whopper Jr Meals,$7.29,1,050 cal
3,Fiery Royal Crispy Chicken Meals,$10.49,1,460 cal
3,Royal Crispy Chicken Meals,$9.99,1,300 cal
3,Bacon & Swiss Royal Crispy Chicken Meals,$11.39,1,370 cal
3,Double Whopper Meals,$11.09,1,640 cal
3,Bacon King Meals,$11.89,1,920 cal
3,Big Fish Meals,$9.29,1,290 cal
3,Philly Melt,$5.49,590 cal
3,Original Chicken Sandwich Meals,$9.59,1,380 cal
3,Bacon Melt,$5.59,650 cal
3,Classic Melt,$4.99,600 cal
3,Whopper,$5.39,670 cal
3,Impossible™ Whopper,$6.39,630 cal
3,Double Whopper,$6.59,920 cal
3,Triple Whopper ,$7.79,1,170 cal
3,Bacon King,$7.39,1,200 cal
3,BBQ Bacon Whopper Jr.,$3.69,390 cal
3,Bacon Cheeseburger,$2.39,340 cal
3,Whopper Jr.,$3.09,330 cal
3,Double Cheeseburger,$3.29,400 cal
3,Bacon Double Cheeseburger,$3.89,440 cal
3,Rodeo Burger,$1.89,340 cal
3,Hamburger,$1.79,250 cal
3,Royal Crispy Chicken,$5.49,600 cal
3,Cheeseburger,$1.99,290 cal
3,Bacon and Swiss Royal Crispy Chicken,$6.89,740 cal
3,Fiery Royal Crispy Chicken,$5.99,760 cal
3,8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal
3,16 Pc. Chicken Nuggets,$4.59,770 cal
3,8 Pc. Chicken Nuggets,$2.49,390 cal
3,4 Pc. Chicken Nuggets,$1.59,190 cal
3,12 Pc. Chicken Fries,$5.09,340 cal
3,8 Pc. Chicken Fries,$3.69,220 cal
3,Original Chicken Sandwich,$5.09,680 cal
3,4 Pc. Chicken Fries,$2.09,110 cal
3,Big Fish,$4.79,570 cal
3,Chicken Jr.,$1.69,440 cal
3,Chicken Philly Royal Crispy Wrap,$2.99,360 cal
3,Royal Crispy Wrap,$2.99,310 cal
